layer_idx,func,term,rho,pval,checkpoint
0,cosine,I,0.058108365109113956,2.8961678665156804e-244,1000
0,cosine,S,,,1000
0,cosine,T,,,1000
0,cosine,F,,,1000
0,cosine,C,,,1000
0,l2,I,,,1000
0,l2,S,-0.09440331819430574,0.0,1000
0,l2,T,-0.09440331819430574,0.0,1000
0,l2,F,-0.09440331819430574,0.0,1000
0,l2,C,-0.09440331819430574,0.0,1000
0,norm_ratio,I,,,1000
0,norm_ratio,S,,,1000
0,norm_ratio,T,,,1000
0,norm_ratio,F,,,1000
0,norm_ratio,C,,,1000
0,spim,I,0.058108365109113956,2.8961678665156804e-244,1000
0,spim,S,,,1000
0,spim,T,,,1000
0,spim,F,,,1000
0,spim,C,,,1000
1,cosine,I,0.7882505969178255,0.0,1000
1,cosine,S,0.4125714911388961,0.0,1000
1,cosine,T,0.6113056584723942,0.0,1000
1,cosine,F,0.22435459820905856,0.0,1000
1,cosine,C,0.006532990037328233,0.00017723097142577251,1000
1,l2,I,0.7338491201875726,0.0,1000
1,l2,S,0.33852562851434465,0.0,1000
1,l2,T,0.5492411155665146,0.0,1000
1,l2,F,0.21001892929836186,0.0,1000
1,l2,C,0.08055767222517425,0.0,1000
1,norm_ratio,I,0.4741590593967125,0.0,1000
1,norm_ratio,S,0.4438617558482586,0.0,1000
1,norm_ratio,T,0.7331875172916098,0.0,1000
1,norm_ratio,F,0.3251543733214175,0.0,1000
1,norm_ratio,C,0.08170742282528803,0.0,1000
1,spim,I,0.8019405077871798,0.0,1000
1,spim,S,0.6373830207050873,0.0,1000
1,spim,T,0.7285352138536731,0.0,1000
1,spim,F,0.2825127762001053,0.0,1000
1,spim,C,0.22744480063273972,0.0,1000
2,cosine,I,0.6952425559485584,0.0,1000
2,cosine,S,0.6964086203230194,0.0,1000
2,cosine,T,0.6022014994158061,0.0,1000
2,cosine,F,0.4781019052892915,0.0,1000
2,cosine,C,0.2140649675440434,0.0,1000
2,l2,I,0.6141540402210847,0.0,1000
2,l2,S,0.6595976570795746,0.0,1000
2,l2,T,0.5636226034800668,0.0,1000
2,l2,F,0.47032645397867534,0.0,1000
2,l2,C,0.02236118382889041,1.042906460759462e-37,1000
2,norm_ratio,I,0.7087036375851581,0.0,1000
2,norm_ratio,S,0.4135206632838239,0.0,1000
2,norm_ratio,T,0.7382815980731893,0.0,1000
2,norm_ratio,F,0.6471987782859798,0.0,1000
2,norm_ratio,C,0.02133941323731165,1.7121405952662563e-34,1000
2,spim,I,0.7851635877700892,0.0,1000
2,spim,S,0.7084155863066443,0.0,1000
2,spim,T,0.6834216922590957,0.0,1000
2,spim,F,0.5289685208713375,0.0,1000
2,spim,C,0.3137526008301271,0.0,1000
3,cosine,I,0.5060156680786602,0.0,1000
3,cosine,S,0.649137612372816,0.0,1000
3,cosine,T,0.26595280393269216,0.0,1000
3,cosine,F,0.6203092765912213,0.0,1000
3,cosine,C,-0.029229080940750204,3.495732886976705e-63,1000
3,l2,I,0.44490313695273015,0.0,1000
3,l2,S,0.5965538360981567,0.0,1000
3,l2,T,0.26795388347264354,0.0,1000
3,l2,F,0.6249735196524675,0.0,1000
3,l2,C,0.007367322007356106,2.354702770287989e-05,1000
3,norm_ratio,I,0.589399519462534,0.0,1000
3,norm_ratio,S,0.5932216247849813,0.0,1000
3,norm_ratio,T,0.639192492880597,0.0,1000
3,norm_ratio,F,0.6359828294650519,0.0,1000
3,norm_ratio,C,0.010588471325942464,1.2238979151538411e-09,1000
3,spim,I,0.5844206686411432,0.0,1000
3,spim,S,0.7459129303379413,0.0,1000
3,spim,T,0.5347771668177551,0.0,1000
3,spim,F,0.6763277440345722,0.0,1000
3,spim,C,0.1530133978809289,0.0,1000
4,cosine,I,0.5898466943279127,0.0,1000
4,cosine,S,0.5696020048945607,0.0,1000
4,cosine,T,0.3598555957735173,0.0,1000
4,cosine,F,0.4782460074869685,0.0,1000
4,cosine,C,-0.3110806385189856,0.0,1000
4,l2,I,0.5546559196211124,0.0,1000
4,l2,S,0.538164809430058,0.0,1000
4,l2,T,0.3603872837948274,0.0,1000
4,l2,F,0.5059464334439838,0.0,1000
4,l2,C,0.2075071014730443,0.0,1000
4,norm_ratio,I,0.5929879371961061,0.0,1000
4,norm_ratio,S,0.48815199592854613,0.0,1000
4,norm_ratio,T,0.46863276260012243,0.0,1000
4,norm_ratio,F,0.4004883519753726,0.0,1000
4,norm_ratio,C,0.22874147055209393,0.0,1000
4,spim,I,0.5712614537546091,0.0,1000
4,spim,S,0.6255679550726482,0.0,1000
4,spim,T,0.4632735879399729,0.0,1000
4,spim,F,0.5254286371511309,0.0,1000
4,spim,C,-0.1367516068555378,0.0,1000
5,cosine,I,0.8282820213597903,0.0,1000
5,cosine,S,0.7382708001345331,0.0,1000
5,cosine,T,-0.06006994705685294,6.438570184544142e-261,1000
5,cosine,F,0.6377203625518507,0.0,1000
5,cosine,C,0.04701239351443332,1.6391354974643086e-160,1000
5,l2,I,0.8050731964398508,0.0,1000
5,l2,S,0.687971510462916,0.0,1000
5,l2,T,-0.07331714651355216,0.0,1000
5,l2,F,0.6242047658735681,0.0,1000
5,l2,C,-0.007312629743735479,2.70589059354409e-05,1000
5,norm_ratio,I,0.6271117962320435,0.0,1000
5,norm_ratio,S,0.6236841207102763,0.0,1000
5,norm_ratio,T,0.5048951044395091,0.0,1000
5,norm_ratio,F,0.3692230448764002,0.0,1000
5,norm_ratio,C,-0.014259878025576865,2.736360493678793e-16,1000
5,spim,I,0.7904541909399552,0.0,1000
5,spim,S,0.5533027943015485,0.0,1000
5,spim,T,0.3153792849683661,0.0,1000
5,spim,F,0.5932271957003195,0.0,1000
5,spim,C,0.7762703919867286,0.0,1000
6,cosine,I,0.9236414185162385,0.0,1000
6,cosine,S,0.8064084380482217,0.0,1000
6,cosine,T,0.5535005544793419,0.0,1000
6,cosine,F,0.7788200048499804,0.0,1000
6,cosine,C,0.25848467260552904,0.0,1000
6,l2,I,0.900867958388766,0.0,1000
6,l2,S,0.42460258897382264,0.0,1000
6,l2,T,0.22690035597399244,0.0,1000
6,l2,F,0.7898417548871286,0.0,1000
6,l2,C,0.35139376650480236,0.0,1000
6,norm_ratio,I,0.5588293589291576,0.0,1000
6,norm_ratio,S,0.7654587334505912,0.0,1000
6,norm_ratio,T,0.720926016405939,0.0,1000
6,norm_ratio,F,0.504203141532163,0.0,1000
6,norm_ratio,C,0.29975186331161685,0.0,1000
6,spim,I,0.9017632964849625,0.0,1000
6,spim,S,0.6380362067467157,0.0,1000
6,spim,T,0.6086070093753433,0.0,1000
6,spim,F,0.7664580471171463,0.0,1000
6,spim,C,0.878632716331873,0.0,1000
0,cosine,I,0.0331150190579828,1.3959349502712723e-80,2000
0,cosine,S,,,2000
0,cosine,T,,,2000
0,cosine,F,,,2000
0,cosine,C,,,2000
0,l2,I,,,2000
0,l2,S,0.19583559357430008,0.0,2000
0,l2,T,0.19583559357430008,0.0,2000
0,l2,F,0.19583559357430008,0.0,2000
0,l2,C,0.19583559357430008,0.0,2000
0,norm_ratio,I,,,2000
0,norm_ratio,S,,,2000
0,norm_ratio,T,,,2000
0,norm_ratio,F,,,2000
0,norm_ratio,C,,,2000
0,spim,I,0.0331150190579828,1.3959349502712723e-80,2000
0,spim,S,,,2000
0,spim,T,,,2000
0,spim,F,,,2000
0,spim,C,,,2000
1,cosine,I,0.7554329029353429,0.0,2000
1,cosine,S,0.6222057228490447,0.0,2000
1,cosine,T,0.5494332920488917,0.0,2000
1,cosine,F,0.5524300123412791,0.0,2000
1,cosine,C,0.1942816845370255,0.0,2000
1,l2,I,0.7153201714280994,0.0,2000
1,l2,S,0.5310354111546041,0.0,2000
1,l2,T,0.5233075104259249,0.0,2000
1,l2,F,0.5527130641857875,0.0,2000
1,l2,C,0.30284708530806825,0.0,2000
1,norm_ratio,I,0.645461445321013,0.0,2000
1,norm_ratio,S,0.8314861413024983,0.0,2000
1,norm_ratio,T,0.72169237885901,0.0,2000
1,norm_ratio,F,0.574446513422135,0.0,2000
1,norm_ratio,C,0.3059232787480896,0.0,2000
1,spim,I,0.7832711770029985,0.0,2000
1,spim,S,0.7706914589293894,0.0,2000
1,spim,T,0.6516596366844385,0.0,2000
1,spim,F,0.6422796334408011,0.0,2000
1,spim,C,0.20461429438415993,0.0,2000
2,cosine,I,0.6848703543597936,0.0,2000
2,cosine,S,0.663482318164423,0.0,2000
2,cosine,T,0.6711145086699939,0.0,2000
2,cosine,F,0.649174049103796,0.0,2000
2,cosine,C,0.3001232629089228,0.0,2000
2,l2,I,0.6208007519319746,0.0,2000
2,l2,S,0.6188337003428735,0.0,2000
2,l2,T,0.6579639575584226,0.0,2000
2,l2,F,0.6583805415591063,0.0,2000
2,l2,C,0.25013983144709934,0.0,2000
2,norm_ratio,I,0.7802707940202209,0.0,2000
2,norm_ratio,S,0.7924131372139325,0.0,2000
2,norm_ratio,T,0.8248411195787732,0.0,2000
2,norm_ratio,F,0.6274189950509856,0.0,2000
2,norm_ratio,C,0.2628653536286583,0.0,2000
2,spim,I,0.7982221997153955,0.0,2000
2,spim,S,0.8107095205777906,0.0,2000
2,spim,T,0.7545933147525674,0.0,2000
2,spim,F,0.6904248368327809,0.0,2000
2,spim,C,0.3354320835101857,0.0,2000
3,cosine,I,0.43683570349728607,0.0,2000
3,cosine,S,0.7057623654462664,0.0,2000
3,cosine,T,0.3978159855245146,0.0,2000
3,cosine,F,0.709692513474784,0.0,2000
3,cosine,C,0.3306874370964132,0.0,2000
3,l2,I,0.3865373363440829,0.0,2000
3,l2,S,0.7037759511103484,0.0,2000
3,l2,T,0.4305848029681159,0.0,2000
3,l2,F,0.7320038398325359,0.0,2000
3,l2,C,0.19768708070493435,0.0,2000
3,norm_ratio,I,0.6913604150150312,0.0,2000
3,norm_ratio,S,0.8404614505952313,0.0,2000
3,norm_ratio,T,0.7726933384816125,0.0,2000
3,norm_ratio,F,0.6977823691312277,0.0,2000
3,norm_ratio,C,0.20876912909014364,0.0,2000
3,spim,I,0.592855549848205,0.0,2000
3,spim,S,0.8307508068249534,0.0,2000
3,spim,T,0.6537641519830033,0.0,2000
3,spim,F,0.7738175296031131,0.0,2000
3,spim,C,0.41289181619204557,0.0,2000
4,cosine,I,0.5231657843850638,0.0,2000
4,cosine,S,0.585600138321724,0.0,2000
4,cosine,T,0.46976423205403295,0.0,2000
4,cosine,F,0.6875909481508292,0.0,2000
4,cosine,C,0.1500605422941129,0.0,2000
4,l2,I,0.469514400989897,0.0,2000
4,l2,S,0.590205767759814,0.0,2000
4,l2,T,0.5388607025820763,0.0,2000
4,l2,F,0.725993954869315,0.0,2000
4,l2,C,0.3919076050399644,0.0,2000
4,norm_ratio,I,0.6612475911139178,0.0,2000
4,norm_ratio,S,0.8023279493925355,0.0,2000
4,norm_ratio,T,0.7418958174906484,0.0,2000
4,norm_ratio,F,0.634303240859113,0.0,2000
4,norm_ratio,C,0.40494984801378225,0.0,2000
4,spim,I,0.5317605587963969,0.0,2000
4,spim,S,0.7487987313508194,0.0,2000
4,spim,T,0.6975182257306378,0.0,2000
4,spim,F,0.7461038424989758,0.0,2000
4,spim,C,0.24557366487950028,0.0,2000
5,cosine,I,0.7916712351663601,0.0,2000
5,cosine,S,0.6489280098013983,0.0,2000
5,cosine,T,0.11815820803390516,0.0,2000
5,cosine,F,0.5178191278107893,0.0,2000
5,cosine,C,0.18527491932333473,0.0,2000
5,l2,I,0.7495599858015973,0.0,2000
5,l2,S,0.7114236753293964,0.0,2000
5,l2,T,0.2447506096670133,0.0,2000
5,l2,F,0.5685416270139059,0.0,2000
5,l2,C,0.1586840233732794,0.0,2000
5,norm_ratio,I,0.65493480022161,0.0,2000
5,norm_ratio,S,0.7928802508599715,0.0,2000
5,norm_ratio,T,0.38253035153741716,0.0,2000
5,norm_ratio,F,0.6082922653087921,0.0,2000
5,norm_ratio,C,0.2502794021708863,0.0,2000
5,spim,I,0.7257226789661908,0.0,2000
5,spim,S,0.7797552431437235,0.0,2000
5,spim,T,0.3877434704860382,0.0,2000
5,spim,F,0.6102084882956038,0.0,2000
5,spim,C,0.5453100227468802,0.0,2000
6,cosine,I,0.9317609174679793,0.0,2000
6,cosine,S,0.7104229988816937,0.0,2000
6,cosine,T,0.4003490385601251,0.0,2000
6,cosine,F,0.7263504717718919,0.0,2000
6,cosine,C,0.26588746302969696,0.0,2000
6,l2,I,0.9084597438954808,0.0,2000
6,l2,S,0.7620655703276051,0.0,2000
6,l2,T,0.45448619061688805,0.0,2000
6,l2,F,0.7094002126045021,0.0,2000
6,l2,C,0.577534755236577,0.0,2000
6,norm_ratio,I,0.6411372760795527,0.0,2000
6,norm_ratio,S,0.8614383446146036,0.0,2000
6,norm_ratio,T,0.570769074357529,0.0,2000
6,norm_ratio,F,0.6943000475883361,0.0,2000
6,norm_ratio,C,0.2760835913499511,0.0,2000
6,spim,I,0.8886260452445929,0.0,2000
6,spim,S,0.8158692597131328,0.0,2000
6,spim,T,0.5332970091352911,0.0,2000
6,spim,F,0.7462716895320203,0.0,2000
6,spim,C,0.7760633604729749,0.0,2000
0,cosine,I,-0.05609981212216172,8.669096232812622e-228,3000
0,cosine,S,,,3000
0,cosine,T,,,3000
0,cosine,F,,,3000
0,cosine,C,,,3000
0,l2,I,,,3000
0,l2,S,0.5221064792828934,0.0,3000
0,l2,T,0.5221064792828934,0.0,3000
0,l2,F,0.5221064792828934,0.0,3000
0,l2,C,0.5221064792828934,0.0,3000
0,norm_ratio,I,,,3000
0,norm_ratio,S,,,3000
0,norm_ratio,T,,,3000
0,norm_ratio,F,,,3000
0,norm_ratio,C,,,3000
0,spim,I,-0.05609981212216172,8.669096232812622e-228,3000
0,spim,S,,,3000
0,spim,T,,,3000
