model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
s0-eng,s1-eng,cosine,I,,143.54166222400005,131.72382814059338,58.96945661501974,78.44773156693228,93.60862303581209,116.38167566881762
s0-eng,s2-eng,cosine,I,,167.61198401648085,134.4587973950301,125.39624569164279,144.01519101848208,403.32103722358625,102.48025575491634
s0-eng,sla-eng,cosine,I,,81.64498021219372,128.8556325777995,168.86150717545226,92.96792483939758,241.78088941270474,309.7530284774713
s0-eng,ine-eng,cosine,I,,83.26147316647699,103.81944165702183,167.57491374152562,94.12834564628157,93.66775298356715,200.995207225079
s0-eng,mul-eng,cosine,I,,116.31256402475282,122.27401797366875,199.18300937263908,66.59353853140546,154.47579038949212,260.3682669245303
s1-eng,s2-eng,cosine,I,,82.79378463520295,70.674333911008,105.59078370856004,103.38825511299883,217.6238335892434,116.75768710351794
s1-eng,sla-eng,cosine,I,,146.1326090306695,175.44362472546175,139.6462654198925,96.49072594873672,222.90289366136244,277.3216428984856
s1-eng,ine-eng,cosine,I,,178.42850644839007,138.0867730225993,119.34125911153626,170.47815807925946,38.85142980177653,226.36267183970497
s1-eng,mul-eng,cosine,I,,98.70059208206438,167.5215140715332,155.81306467494326,107.53559137168402,79.82652299086368,272.08451174190617
s2-eng,sla-eng,cosine,I,,152.09246370300792,130.7281531965377,157.13294445211673,173.22008986613204,157.47340824755756,383.12338351747775
s2-eng,ine-eng,cosine,I,,156.47489826366186,113.14298539186255,195.24565641227622,273.4730830819315,270.11884147931136,270.90424812605715
s2-eng,mul-eng,cosine,I,,89.41687618833625,113.71607057903125,155.2220802097559,183.15633765010492,189.61638214385567,275.7563953934047
sla-eng,ine-eng,cosine,I,,48.78470109702643,49.34076396175651,159.1909617379281,109.61269187920978,258.10422857977727,173.5732665232443
sla-eng,mul-eng,cosine,I,,101.14597519295428,42.040556418872754,149.17174041857444,64.41468193406592,213.36059484498992,235.26533411656416
ine-eng,mul-eng,cosine,I,,99.83045517299713,38.99131864007334,105.78620978211377,94.24888615649309,120.47285387236818,177.530154823147
s0-eng,s1-eng,cosine,S,,43.808087700011946,28.686910260541108,41.2511705472513,9.61683064918331,16.549328832967014,65.0017265480422
s0-eng,s2-eng,cosine,S,,46.839191364376646,25.147669051108785,10.581688135797583,17.64634029471379,13.3649812013724,189.89917766680446
s0-eng,sla-eng,cosine,S,,50.257607634337205,56.743045457110966,29.723530951894702,25.441089887868642,27.30412167916038,197.66559952434406
s0-eng,ine-eng,cosine,S,,121.70272549827722,80.21305439917586,25.509431041237363,22.581326681297977,21.436081350527665,118.9468889087943
s0-eng,mul-eng,cosine,S,,129.08492158509802,113.23985399141175,28.72518203899496,19.489022711080672,71.68124184556272,170.92539344565336
s1-eng,s2-eng,cosine,S,,71.7387051585352,34.66487205422517,34.50271227465913,9.087478683814126,17.128461179290746,141.36096447631454
s1-eng,sla-eng,cosine,S,,67.75170301682626,59.49550361454748,74.20488100636082,13.9298571730081,34.9891494441529,169.11260181303746
s1-eng,ine-eng,cosine,S,,142.57734650910268,88.58168785875405,70.60036475301884,13.415305945172806,13.497613012670458,107.97111647511204
s1-eng,mul-eng,cosine,S,,124.6790713687785,121.18458900432803,68.76394266448773,10.558472969460604,43.8104451093627,174.77336949109161
s2-eng,sla-eng,cosine,S,,60.0215708942461,44.82369681366016,31.666305734445196,11.182853934451392,27.385641308964086,97.20038073907351
s2-eng,ine-eng,cosine,S,,114.83714378591657,69.27391240782582,28.681543104929254,8.332887305452275,21.70454524273625,95.30065297374605
s2-eng,mul-eng,cosine,S,,150.3915197779256,97.96223631756737,28.951368436263447,8.958141113157932,67.25536467742926,120.59293898971073
sla-eng,ine-eng,cosine,S,,86.75216373482442,26.337159639447464,14.653639956482372,9.06487460576456,35.66036275066161,69.60018707226907
sla-eng,mul-eng,cosine,S,,96.49417132067498,44.137164453548344,15.083643143034353,8.593600220574055,57.70056557334744,69.54350081831952
ine-eng,mul-eng,cosine,S,,64.08900481940252,35.914943605224636,16.25631383880971,7.780415215118528,30.720815739201306,68.85263474297872
s0-eng,s1-eng,cosine,T,,211.8570987566277,37.15119914704867,31.284194917391684,28.978580393907734,106.433018210747,147.44150725656246
s0-eng,s2-eng,cosine,T,,380.5989957249261,71.94401369414584,41.56328302087367,70.23774905688731,34.685222627046294,191.677121366902
s0-eng,sla-eng,cosine,T,,457.5988288721275,36.13741763029889,100.41104776434044,163.92604313394978,68.85875280960927,340.1281124176641
s0-eng,ine-eng,cosine,T,,557.5419231967767,22.72585666854714,651.5935761252034,109.21783824692223,77.9164784106204,260.2190228815107
s0-eng,mul-eng,cosine,T,,473.03339580368623,11.473604545435899,317.1199588596126,25.383751300835623,89.65029056140023,253.4250291823018
s1-eng,s2-eng,cosine,T,,255.7377664738577,42.44470136635193,36.60971964984967,93.26098791279533,100.70501422499991,277.1915792217228
s1-eng,sla-eng,cosine,T,,197.80415320314773,17.011702569170506,154.3395291377527,183.91220259249056,157.0130886997565,335.8832361361855
s1-eng,ine-eng,cosine,T,,403.4316986236002,24.38015533238308,692.3663590637955,94.76264621728912,141.69725671367175,202.37600662573342
s1-eng,mul-eng,cosine,T,,374.5479113185003,30.43411364541222,364.9922922900484,39.55373504748456,77.32266334819295,247.88334245358706
s2-eng,sla-eng,cosine,T,,98.65465054781824,34.31299565736829,120.38669460774292,95.00442186631236,64.29229377281847,261.40137898887167
s2-eng,ine-eng,cosine,T,,87.37653084584319,57.76372932291226,583.1402519160769,109.6821794467408,72.8454599952149,231.6951382435392
s2-eng,mul-eng,cosine,T,,114.25801206904606,69.94681485432388,299.36960241960634,73.86998219743596,88.47221421355884,204.94028761321945
sla-eng,ine-eng,cosine,T,,150.17858401129504,21.94673122014692,352.7733075176458,172.62965197593056,55.273351929628014,146.73311428368206
sla-eng,mul-eng,cosine,T,,162.01644969421818,38.56714422700444,101.3214524316065,160.66955764320633,103.52873908331293,79.48518870495064
ine-eng,mul-eng,cosine,T,,42.64851647969488,19.605404972373368,137.35961953314725,135.69559817388006,76.74532766887744,135.2559949012805
s0-eng,s1-eng,cosine,F,,19.484776815488274,11.081379312587629,13.668952669363698,19.783508779303347,24.643340545054475,92.62710063052322
s0-eng,s2-eng,cosine,F,,13.020161073262667,10.682945706254351,25.375610752430532,11.294057741586409,37.09042392318863,43.22851864398534
s0-eng,sla-eng,cosine,F,,25.421187787207852,13.133695440603823,31.073610739006273,16.231220598271342,23.11661006159367,98.56731177523106
s0-eng,ine-eng,cosine,F,,31.415733750171782,24.945061312795843,29.27365111799386,35.28894129637602,31.755700138059023,117.30107226072899
s0-eng,mul-eng,cosine,F,,27.959376874489273,54.978861553720016,30.801992888432256,17.264779803608437,17.988764465249147,124.30711973363654
s1-eng,s2-eng,cosine,F,,14.765873373087317,10.11859428162332,29.826848379137306,19.912691924569728,15.889565718594836,102.71485786812742
s1-eng,sla-eng,cosine,F,,25.198145526341914,12.074598819720434,30.992800420387436,10.502665790956744,31.590384473911907,94.1856768964254
s1-eng,ine-eng,cosine,F,,22.430553480425097,23.79486907734881,29.494122012659112,10.804656066292537,14.75894095996383,112.21296516876278
s1-eng,mul-eng,cosine,F,,41.9102280584915,53.78114024029901,27.35767460069791,13.156926361773365,28.809157048828883,141.29968897957636
s2-eng,sla-eng,cosine,F,,21.73246820279654,15.611850669106703,59.079628439078405,19.689030529694893,30.330793495525697,102.24964550350205
s2-eng,ine-eng,cosine,F,,24.14595578887025,26.349502381842576,57.448582508361675,36.22330968719784,11.50572529308042,97.61824931118508
s2-eng,mul-eng,cosine,F,,28.993170353566708,58.29768184897772,60.961441093472075,17.459273943523243,43.27373506830796,119.89398201638375
sla-eng,ine-eng,cosine,F,,28.72627007193738,14.066189165046064,11.016863666682907,13.563466613825334,18.985201075384307,77.49858758751324
sla-eng,mul-eng,cosine,F,,26.69948578968263,44.46646666960095,13.563175152530537,6.99157621701444,20.64545922959402,75.71136072798964
ine-eng,mul-eng,cosine,F,,42.7623813117422,23.924851558316163,8.528712118435898,19.300888096290098,28.76459215547521,57.81079075358392
s0-eng,s1-eng,cosine,C,,14.976871488262983,11.532250533247419,40.114757174214745,37.210704405119024,41.962754477074434,293.18693477914036
s0-eng,s2-eng,cosine,C,,23.02191874082982,11.86959020081244,21.506686731695783,64.29624331920509,114.57776840169797,416.8223040087412
s0-eng,sla-eng,cosine,C,,20.098190057551776,30.424692186436605,38.70457312627026,44.688988129883676,49.60981364384812,172.36019414454537
s0-eng,ine-eng,cosine,C,,27.644282817832757,59.43201703958734,32.609878469863936,33.56525766521062,69.17446239731953,195.8985091370262
s0-eng,mul-eng,cosine,C,,49.121002242387725,70.3636523594873,29.408176645926243,25.019814270467386,112.37272666944396,185.18683994226103
s1-eng,s2-eng,cosine,C,,29.146238531129107,13.531154128863253,21.184705850526214,42.3902556972921,143.0166134058391,676.4405029702503
s1-eng,sla-eng,cosine,C,,26.545564141841275,38.270605998492975,27.355679952614423,13.806159787964948,101.31912149806911,198.62741360442195
s1-eng,ine-eng,cosine,C,,28.068780206617625,63.986782296078914,38.70759316223785,10.959697225590928,56.50943076487217,257.49863669954397
s1-eng,mul-eng,cosine,C,,46.45129471678586,74.2105793737226,45.41371893490266,41.14618668278199,123.8488240090331,168.26196783960071
s2-eng,sla-eng,cosine,C,,12.238776860846304,18.94034324147754,21.753526635491305,47.52936574733547,109.8571484360028,437.3753739127977
s2-eng,ine-eng,cosine,C,,25.818969670632537,40.719810308899724,26.61170177138053,45.76985161921216,150.12288023822077,393.79321961330004
s2-eng,mul-eng,cosine,C,,53.99669541628291,47.22836592918856,30.42786473173432,75.37899956076477,187.29641914384652,462.0707848078557
sla-eng,ine-eng,cosine,C,,32.686319654193845,13.678912724511772,11.783114389116248,17.137753184997123,132.0895306493446,222.57076999293275
sla-eng,mul-eng,cosine,C,,61.40990079330013,18.708169641089647,21.355883593198392,45.58210270895334,131.17960866612034,179.25087929449322
ine-eng,mul-eng,cosine,C,,18.00468913324003,12.432697556622124,10.76542096706757,30.06107804576454,106.77554809643628,143.05990609432982
s0-eng,s1-eng,l2,I,,3.2208192614131432,2.535829075900713,1.8796807799443753,5.043045701929222,15.788334407471961,18.369791723542836
s0-eng,s2-eng,l2,I,,2.458752712532204,2.019483761782653,4.12753301225972,2.8635849838299174,15.757472971613602,26.8602882235996
s0-eng,sla-eng,l2,I,,7.600335211643299,2.6958363532227567,8.95415061148108,5.57488556749732,28.635623245356566,47.969019707950665
s0-eng,ine-eng,l2,I,,4.714569638031002,3.601415131783959,2.2328143865223358,6.766495498892477,20.26267846400784,19.037773655882113
s0-eng,mul-eng,l2,I,,2.76759603760002,4.679285778144078,2.0783764474628406,5.6637486703034545,60.02770352323139,25.433271791047098
s1-eng,s2-eng,l2,I,,3.8927495626323685,2.1706559253476563,2.496596280576095,7.523354290171414,20.961273207882762,34.35829972727726
s1-eng,sla-eng,l2,I,,9.97780823432265,4.760631967663687,6.823717002405893,3.273283348951645,35.81180996401532,41.0600289274513
s1-eng,ine-eng,l2,I,,6.7891440563037735,5.934112901142645,2.194927477193732,8.317199376227688,14.556016971056927,14.613632162832618
s1-eng,mul-eng,l2,I,,2.5684447519681957,6.258841757089825,1.2658708090175497,6.248107261758175,54.617693642308865,27.722237113389813
s2-eng,sla-eng,l2,I,,8.791089476923966,2.679832874922122,4.840994013783352,7.4855788868864686,33.96744553307587,47.69379620118931
s2-eng,ine-eng,l2,I,,5.5215858598666,3.373160093750017,3.8756746318263398,6.101370387787705,18.997513495799904,36.97656675386869
