model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
s0-eng,s1-eng,cosine,I,,-0.68319666235268,-0.68319666235268,-0.68319666235268,-0.68319666235268,-0.68319666235268,-0.68319666235268
s0-eng,s2-eng,cosine,I,,-0.80811546044463,-0.80811546044463,-0.80811546044463,-0.80811546044463,-0.80811546044463,-0.80811546044463
s0-eng,sla-eng,cosine,I,,1.0544471990571866,1.0544471990571866,1.0544471990571866,1.0544471990571866,1.0544471990571866,1.0544471990571866
s0-eng,ine-eng,cosine,I,,0.07714442005385486,0.07714442005385486,0.07714442005385486,0.07714442005385486,0.07714442005385486,0.07714442005385486
s0-eng,mul-eng,cosine,I,,0.6106734626000996,0.6106734626000996,0.6106734626000996,0.6106734626000996,0.6106734626000996,0.6106734626000996
s1-eng,s2-eng,cosine,I,,-0.6798178063234033,-0.6798178063234033,-0.6798178063234033,-0.6798178063234033,-0.6798178063234033,-0.6798178063234033
s1-eng,sla-eng,cosine,I,,0.7630172780796727,0.7630172780796727,0.7630172780796727,0.7630172780796727,0.7630172780796727,0.7630172780796727
s1-eng,ine-eng,cosine,I,,0.3050976226709706,0.3050976226709706,0.3050976226709706,0.3050976226709706,0.3050976226709706,0.3050976226709706
s1-eng,mul-eng,cosine,I,,0.7159561768697453,0.7159561768697453,0.7159561768697453,0.7159561768697453,0.7159561768697453,0.7159561768697453
s2-eng,sla-eng,cosine,I,,1.7137565806845996,1.7137565806845996,1.7137565806845996,1.7137565806845996,1.7137565806845996,1.7137565806845996
s2-eng,ine-eng,cosine,I,,0.7053502737867026,0.7053502737867026,0.7053502737867026,0.7053502737867026,0.7053502737867026,0.7053502737867026
s2-eng,mul-eng,cosine,I,,0.7489518920786641,0.7489518920786641,0.7489518920786641,0.7489518920786641,0.7489518920786641,0.7489518920786641
sla-eng,ine-eng,cosine,I,,-0.1692703990824575,-0.1692703990824575,-0.1692703990824575,-0.1692703990824575,-0.1692703990824575,-0.1692703990824575
sla-eng,mul-eng,cosine,I,,0.3850973549523971,0.3850973549523971,0.3850973549523971,0.3850973549523971,0.3850973549523971,0.3850973549523971
ine-eng,mul-eng,cosine,I,,-0.1337136190075201,-0.1337136190075201,-0.1337136190075201,-0.1337136190075201,-0.1337136190075201,-0.1337136190075201
s0-eng,s1-eng,cosine,S,,-1.1448992459696639,-1.1448992459696639,-1.1448992459696639,-1.1448992459696639,-1.1448992459696639,-1.1448992459696639
s0-eng,s2-eng,cosine,S,,-0.02256501139971311,-0.02256501139971311,-0.02256501139971311,-0.02256501139971311,-0.02256501139971311,-0.02256501139971311
s0-eng,sla-eng,cosine,S,,0.047224412265471916,0.047224412265471916,0.047224412265471916,0.047224412265471916,0.047224412265471916,0.047224412265471916
s0-eng,ine-eng,cosine,S,,-0.6601455383112427,-0.6601455383112427,-0.6601455383112427,-0.6601455383112427,-0.6601455383112427,-0.6601455383112427
s0-eng,mul-eng,cosine,S,,-0.1930643082227698,-0.1930643082227698,-0.1930643082227698,-0.1930643082227698,-0.1930643082227698,-0.1930643082227698
s1-eng,s2-eng,cosine,S,,-0.45873162537441686,-0.45873162537441686,-0.45873162537441686,-0.45873162537441686,-0.45873162537441686,-0.45873162537441686
s1-eng,sla-eng,cosine,S,,-0.2093541371280223,-0.2093541371280223,-0.2093541371280223,-0.2093541371280223,-0.2093541371280223,-0.2093541371280223
s1-eng,ine-eng,cosine,S,,-0.7587743337176227,-0.7587743337176227,-0.7587743337176227,-0.7587743337176227,-0.7587743337176227,-0.7587743337176227
s1-eng,mul-eng,cosine,S,,-0.15848621867077528,-0.15848621867077528,-0.15848621867077528,-0.15848621867077528,-0.15848621867077528,-0.15848621867077528
s2-eng,sla-eng,cosine,S,,-0.8555606599379028,-0.8555606599379028,-0.8555606599379028,-0.8555606599379028,-0.8555606599379028,-0.8555606599379028
s2-eng,ine-eng,cosine,S,,-0.8726317009262629,-0.8726317009262629,-0.8726317009262629,-0.8726317009262629,-0.8726317009262629,-0.8726317009262629
s2-eng,mul-eng,cosine,S,,-0.645354056651041,-0.645354056651041,-0.645354056651041,-0.645354056651041,-0.645354056651041,-0.645354056651041
sla-eng,ine-eng,cosine,S,,-1.1035772684078415,-1.1035772684078415,-1.1035772684078415,-1.1035772684078415,-1.1035772684078415,-1.1035772684078415
sla-eng,mul-eng,cosine,S,,-1.1040866536904652,-1.1040866536904652,-1.1040866536904652,-1.1040866536904652,-1.1040866536904652,-1.1040866536904652
ine-eng,mul-eng,cosine,S,,-1.1102948079875505,-1.1102948079875505,-1.1102948079875505,-1.1102948079875505,-1.1102948079875505,-1.1102948079875505
s0-eng,s1-eng,cosine,T,,-0.40409158856093363,-0.40409158856093363,-0.40409158856093363,-0.40409158856093363,-0.40409158856093363,-0.40409158856093363
s0-eng,s2-eng,cosine,T,,-0.006588327617271524,-0.006588327617271524,-0.006588327617271524,-0.006588327617271524,-0.006588327617271524,-0.006588327617271524
s0-eng,sla-eng,cosine,T,,1.3273990990250886,1.3273990990250886,1.3273990990250886,1.3273990990250886,1.3273990990250886,1.3273990990250886
s0-eng,ine-eng,cosine,T,,0.6093323487720257,0.6093323487720257,0.6093323487720257,0.6093323487720257,0.6093323487720257,0.6093323487720257
s0-eng,mul-eng,cosine,T,,0.5482812092189528,0.5482812092189528,0.5482812092189528,0.5482812092189528,0.5482812092189528,0.5482812092189528
s1-eng,s2-eng,cosine,T,,0.7618485199040864,0.7618485199040864,0.7618485199040864,0.7618485199040864,0.7618485199040864,0.7618485199040864
s1-eng,sla-eng,cosine,T,,1.2892544457151718,1.2892544457151718,1.2892544457151718,1.2892544457151718,1.2892544457151718,1.2892544457151718
s1-eng,ine-eng,cosine,T,,0.08955234691342345,0.08955234691342345,0.08955234691342345,0.08955234691342345,0.08955234691342345,0.08955234691342345
s1-eng,mul-eng,cosine,T,,0.498483357644028,0.498483357644028,0.498483357644028,0.498483357644028,0.498483357644028,0.498483357644028
s2-eng,sla-eng,cosine,T,,0.6199570550799414,0.6199570550799414,0.6199570550799414,0.6199570550799414,0.6199570550799414,0.6199570550799414
s2-eng,ine-eng,cosine,T,,0.35301541079321525,0.35301541079321525,0.35301541079321525,0.35301541079321525,0.35301541079321525,0.35301541079321525
s2-eng,mul-eng,cosine,T,,0.11259509369114407,0.11259509369114407,0.11259509369114407,0.11259509369114407,0.11259509369114407,0.11259509369114407
sla-eng,ine-eng,cosine,T,,-0.4104572403646399,-0.4104572403646399,-0.4104572403646399,-0.4104572403646399,-0.4104572403646399,-0.4104572403646399
sla-eng,mul-eng,cosine,T,,-1.0147501895382407,-1.0147501895382407,-1.0147501895382407,-1.0147501895382407,-1.0147501895382407,-1.0147501895382407
ine-eng,mul-eng,cosine,T,,-0.513591162488216,-0.513591162488216,-0.513591162488216,-0.513591162488216,-0.513591162488216,-0.513591162488216
s0-eng,s1-eng,cosine,F,,-0.8966563651274599,-0.8966563651274599,-0.8966563651274599,-0.8966563651274599,-0.8966563651274599,-0.8966563651274599
s0-eng,s2-eng,cosine,F,,-1.3405542926358733,-1.3405542926358733,-1.3405542926358733,-1.3405542926358733,-1.3405542926358733,-1.3405542926358733
s0-eng,sla-eng,cosine,F,,-0.8432773548389301,-0.8432773548389301,-0.8432773548389301,-0.8432773548389301,-0.8432773548389301,-0.8432773548389301
s0-eng,ine-eng,cosine,F,,-0.6749349223331187,-0.6749349223331187,-0.6749349223331187,-0.6749349223331187,-0.6749349223331187,-0.6749349223331187
s0-eng,mul-eng,cosine,F,,-0.611978257826094,-0.611978257826094,-0.611978257826094,-0.611978257826094,-0.611978257826094,-0.611978257826094
s1-eng,s2-eng,cosine,F,,-0.8060073150757634,-0.8060073150757634,-0.8060073150757634,-0.8060073150757634,-0.8060073150757634,-0.8060073150757634
s1-eng,sla-eng,cosine,F,,-0.8826509271882429,-0.8826509271882429,-0.8826509271882429,-0.8826509271882429,-0.8826509271882429,-0.8826509271882429
s1-eng,ine-eng,cosine,F,,-0.7206568864510398,-0.7206568864510398,-0.7206568864510398,-0.7206568864510398,-0.7206568864510398,-0.7206568864510398
s1-eng,mul-eng,cosine,F,,-0.4592822498036067,-0.4592822498036067,-0.4592822498036067,-0.4592822498036067,-0.4592822498036067,-0.4592822498036067
s2-eng,sla-eng,cosine,F,,-0.8101877347599716,-0.8101877347599716,-0.8101877347599716,-0.8101877347599716,-0.8101877347599716,-0.8101877347599716
s2-eng,ine-eng,cosine,F,,-0.8518056737485872,-0.8518056737485872,-0.8518056737485872,-0.8518056737485872,-0.8518056737485872,-0.8518056737485872
s2-eng,mul-eng,cosine,F,,-0.6516349161291924,-0.6516349161291924,-0.6516349161291924,-0.6516349161291924,-0.6516349161291924,-0.6516349161291924
sla-eng,ine-eng,cosine,F,,-1.0326018784603375,-1.0326018784603375,-1.0326018784603375,-1.0326018784603375,-1.0326018784603375,-1.0326018784603375
sla-eng,mul-eng,cosine,F,,-1.0486619811399265,-1.0486619811399265,-1.0486619811399265,-1.0486619811399265,-1.0486619811399265,-1.0486619811399265
ine-eng,mul-eng,cosine,F,,-1.2095173254294345,-1.2095173254294345,-1.2095173254294345,-1.2095173254294345,-1.2095173254294345,-1.2095173254294345
s0-eng,s1-eng,cosine,C,,0.9055835199013098,0.9055835199013098,0.9055835199013098,0.9055835199013098,0.9055835199013098,0.9055835199013098
s0-eng,s2-eng,cosine,C,,2.0165766286248266,2.0165766286248266,2.0165766286248266,2.0165766286248266,2.0165766286248266,2.0165766286248266
s0-eng,sla-eng,cosine,C,,-0.18017112321597453,-0.18017112321597453,-0.18017112321597453,-0.18017112321597453,-0.18017112321597453,-0.18017112321597453
s0-eng,ine-eng,cosine,C,,0.0313452568503586,0.0313452568503586,0.0313452568503586,0.0313452568503586,0.0313452568503586,0.0313452568503586
s0-eng,mul-eng,cosine,C,,-0.06491029471603607,-0.06491029471603607,-0.06491029471603607,-0.06491029471603607,-0.06491029471603607,-0.06491029471603607
s1-eng,s2-eng,cosine,C,,4.349517693489546,4.349517693489546,4.349517693489546,4.349517693489546,4.349517693489546,4.349517693489546
s1-eng,sla-eng,cosine,C,,0.05586731778270567,0.05586731778270567,0.05586731778270567,0.05586731778270567,0.05586731778270567,0.05586731778270567
s1-eng,ine-eng,cosine,C,,0.5848868335439446,0.5848868335439446,0.5848868335439446,0.5848868335439446,0.5848868335439446,0.5848868335439446
s1-eng,mul-eng,cosine,C,,-0.21699797309844995,-0.21699797309844995,-0.21699797309844995,-0.21699797309844995,-0.21699797309844995,-0.21699797309844995
s2-eng,sla-eng,cosine,C,,2.2012674591598524,2.2012674591598524,2.2012674591598524,2.2012674591598524,2.2012674591598524,2.2012674591598524
s2-eng,ine-eng,cosine,C,,1.8096362181017362,1.8096362181017362,1.8096362181017362,1.8096362181017362,1.8096362181017362,1.8096362181017362
s2-eng,mul-eng,cosine,C,,2.423181556173252,2.423181556173252,2.423181556173252,2.423181556173252,2.423181556173252,2.423181556173252
sla-eng,ine-eng,cosine,C,,0.271023418444699,0.271023418444699,0.271023418444699,0.271023418444699,0.271023418444699,0.271023418444699
sla-eng,mul-eng,cosine,C,,-0.11825110984376001,-0.11825110984376001,-0.11825110984376001,-0.11825110984376001,-0.11825110984376001,-0.11825110984376001
ine-eng,mul-eng,cosine,C,,-0.4434648579315721,-0.4434648579315721,-0.4434648579315721,-0.4434648579315721,-0.4434648579315721,-0.4434648579315721
s0-eng,s1-eng,l2,I,,-1.1653678754634895,-1.1653678754634895,-1.1653678754634895,-1.1653678754634895,-1.1653678754634895,-1.1653678754634895
s0-eng,s2-eng,l2,I,,-0.6355148456103074,-0.6355148456103074,-0.6355148456103074,-0.6355148456103074,-0.6355148456103074,-0.6355148456103074
s0-eng,sla-eng,l2,I,,0.6817844823225053,0.6817844823225053,0.6817844823225053,0.6817844823225053,0.6817844823225053,0.6817844823225053
s0-eng,ine-eng,l2,I,,-1.1236821800822143,-1.1236821800822143,-1.1236821800822143,-1.1236821800822143,-1.1236821800822143,-1.1236821800822143
s0-eng,mul-eng,l2,I,,-0.7245684104322431,-0.7245684104322431,-0.7245684104322431,-0.7245684104322431,-0.7245684104322431,-0.7245684104322431
s1-eng,s2-eng,l2,I,,-0.16759826227845342,-0.16759826227845342,-0.16759826227845342,-0.16759826227845342,-0.16759826227845342,-0.16759826227845342
s1-eng,sla-eng,l2,I,,0.2506259866737741,0.2506259866737741,0.2506259866737741,0.2506259866737741,0.2506259866737741,0.2506259866737741
s1-eng,ine-eng,l2,I,,-1.399772603601709,-1.399772603601709,-1.399772603601709,-1.399772603601709,-1.399772603601709,-1.399772603601709
s1-eng,mul-eng,l2,I,,-0.5817245601033435,-0.5817245601033435,-0.5817245601033435,-0.5817245601033435,-0.5817245601033435,-0.5817245601033435
s2-eng,sla-eng,l2,I,,0.6646090428245505,0.6646090428245505,0.6646090428245505,0.6646090428245505,0.6646090428245505,0.6646090428245505
s2-eng,ine-eng,l2,I,,-0.004204199635017389,-0.004204199635017389,-0.004204199635017389,-0.004204199635017389,-0.004204199635017389,-0.004204199635017389
s2-eng,mul-eng,l2,I,,0.3812349246574354,0.3812349246574354,0.3812349246574354,0.3812349246574354,0.3812349246574354,0.3812349246574354
sla-eng,ine-eng,l2,I,,0.022188428663408945,0.022188428663408945,0.022188428663408945,0.022188428663408945,0.022188428663408945,0.022188428663408945
sla-eng,mul-eng,l2,I,,0.7859870252324356,0.7859870252324356,0.7859870252324356,0.7859870252324356,0.7859870252324356,0.7859870252324356
