model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
s0-eng,s1-eng,cosine,S,,73.59905503967094,133.10775633037088,143.94729897625828,129.18950762816803,165.5070095766829,234.75767821696553
s0-eng,s2-eng,cosine,S,,92.46403613865094,94.63504030495487,109.27038970625983,134.61720536009915,150.97820864611197,241.85422527851307
s0-eng,sla-eng,cosine,S,,81.02362826950703,124.25134157144844,225.34655245387887,232.15113613272487,258.42367001274107,261.6036426567841
s0-eng,ine-eng,cosine,S,,50.75275074490986,126.67514006283052,127.04420043243486,123.84269019009373,193.3968279007048,307.1689028418568
s0-eng,mul-eng,cosine,S,,103.3853352301204,117.56911170668658,120.67058011511435,129.59462289529884,171.55269572435785,229.33452330343354
s1-eng,s2-eng,cosine,S,,135.97803410014248,192.71240773474162,212.54000954444288,200.6566229813596,217.61969500985097,379.5052125829661
s1-eng,sla-eng,cosine,S,,81.24616724013977,224.8604069430691,319.4047944237859,294.3557176060346,303.39191112558575,300.1529023278328
s1-eng,ine-eng,cosine,S,,62.87423941369189,90.2037477407172,119.25907899600985,125.82981651750505,192.5663035942563,245.1773121327861
s1-eng,mul-eng,cosine,S,,158.23624004337083,194.32067678218442,213.35366167565005,188.46997801196696,186.82572192502093,342.9275749506096
s2-eng,sla-eng,cosine,S,,100.35925944875498,75.37962052882324,132.812058375503,131.05275582884016,139.31431333693155,285.7292306007736
s2-eng,ine-eng,cosine,S,,132.68498479858323,179.99652569442378,198.8068866639138,262.4876296507288,273.1011087325949,457.98863480326366
s2-eng,mul-eng,cosine,S,,92.71574254136746,49.55762959268611,76.08654453352055,95.98367905854666,147.33716767160664,244.27140148340942
sla-eng,ine-eng,cosine,S,,83.87831129268287,224.7807794121658,286.19942344685967,313.11652729100877,374.2013088626955,248.47364715114995
sla-eng,mul-eng,cosine,S,,109.05406544593856,72.97636753656897,134.89759480247477,166.61743980821208,147.89697868730437,235.21790664326363
ine-eng,mul-eng,cosine,S,,117.16854312140951,189.97188053604947,207.32591328167968,195.58605255751255,218.92907778574428,331.56004401307143
s0-eng,s1-eng,cosine,T,,153.74458775700705,198.16251384720957,283.1979896194191,191.92035887367933,124.57611365443803,246.2268695426804
s0-eng,s2-eng,cosine,T,,123.81518571299858,154.59043119725314,185.18827963017483,156.2352695162422,174.2822350823295,248.2613490475642
s0-eng,sla-eng,cosine,T,,109.71490545524932,134.05952809431477,172.33565358837077,181.74312075679862,107.09442244802331,273.6375134912798
s0-eng,ine-eng,cosine,T,,100.85036229991081,161.70477753034942,216.29974912287364,256.313050197573,286.0888646554008,259.5356025849197
s0-eng,mul-eng,cosine,T,,143.35231294428846,177.12559182084144,168.48680780499447,149.67067144744635,180.84975323125224,290.4498951882283
s1-eng,s2-eng,cosine,T,,155.07732449468105,199.7714158838925,253.16985339727944,213.10158153791042,214.7338863999988,313.6728301636392
s1-eng,sla-eng,cosine,T,,138.14979740521966,230.2152891512826,289.65677255421826,162.81172783529888,126.13298849219537,359.9255733015371
s1-eng,ine-eng,cosine,T,,122.03659244784673,117.70403317741506,185.30483165549765,288.85799361115903,320.96171219701125,327.58204235143177
s1-eng,mul-eng,cosine,T,,142.82566916604145,200.9091231481625,205.9363901523302,229.8637729687188,223.65622843099368,295.23530441129367
s2-eng,sla-eng,cosine,T,,64.49213873632726,101.78052932485257,104.11061678270688,136.83045536352702,136.21516631385688,233.95312430018916
s2-eng,ine-eng,cosine,T,,95.42199246164327,173.33983218826825,159.0365231357862,174.86926148456553,208.61353645090213,202.02512194151618
s2-eng,mul-eng,cosine,T,,57.55453269332231,64.58498369110448,73.95512837692183,81.63324618955554,72.07745304996286,204.1569517059969
sla-eng,ine-eng,cosine,T,,85.13509817537943,198.2685566930431,220.72303557892172,272.7416001805141,296.0736033103708,202.88497347309067
sla-eng,mul-eng,cosine,T,,63.02432555108951,100.09059381956484,111.43783126831427,176.5080614869699,164.11773451736505,205.54263463617355
ine-eng,mul-eng,cosine,T,,79.58529344790405,161.5862983378487,144.80198788340363,173.22204865966523,176.22113094078873,141.3587067603357
s0-eng,s1-eng,cosine,C,,60.20558066426195,152.72080951431263,170.80375034478223,189.37476465119468,80.96425278654552,179.8677813172287
s0-eng,s2-eng,cosine,C,,64.99009727328081,108.53554971380525,205.03668591637927,201.50847240072414,176.37564518528234,297.31119582039656
s0-eng,sla-eng,cosine,C,,83.94830814505931,134.72528060880302,128.6068092292242,159.51863935290967,245.10572132342494,157.483944742867
s0-eng,ine-eng,cosine,C,,93.72502995002229,127.61127653279094,214.7087670493281,217.08229128315398,179.54543807254626,378.5262980732958
s0-eng,mul-eng,cosine,C,,77.8772648064216,120.01942243578891,168.35506464236465,162.00650837218794,200.3141886393077,227.60318555320092
s1-eng,s2-eng,cosine,C,,75.40234477257721,166.68743341243052,282.8022487787349,453.6232724585073,175.77775482492447,257.5189108405012
s1-eng,sla-eng,cosine,C,,96.69923693069958,175.36073575173597,196.79806199758724,131.90874395384037,248.99480309140912,212.57367956636128
s1-eng,ine-eng,cosine,C,,82.41717128061275,120.91050692501068,257.52767063855237,331.93862267397395,145.53683452675887,286.62043345354914
s1-eng,mul-eng,cosine,C,,91.20245688468044,175.92903779975182,233.4181871462553,334.6996257110253,176.66590221648983,229.5637152499402
s2-eng,sla-eng,cosine,C,,48.33353783462432,86.77494747857897,123.54549424396934,265.865941141035,309.8850153530003,289.5864009170929
s2-eng,ine-eng,cosine,C,,106.95126714091712,135.5754917252024,144.51299731531233,129.5303730776416,134.01289615978237,162.66158025318344
s2-eng,mul-eng,cosine,C,,44.32937280462652,55.281014216143944,82.62099934615837,61.03810439871036,67.1123693730777,210.827610000415
sla-eng,ine-eng,cosine,C,,137.66263307928912,164.0009939761217,190.37414868834733,275.2766904117426,336.4183792094924,276.6684538785095
sla-eng,mul-eng,cosine,C,,42.88528381085125,106.46914636612529,122.64283378240698,189.04045048383028,318.9403440050948,192.7691018585698
ine-eng,mul-eng,cosine,C,,121.41792741368573,137.4337721381673,164.50111525508564,156.74836365493215,131.12186395699692,194.63989035771394
