model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
s0-eng,s1-eng,cosine,S,,-0.39637332051943885,-0.39637332051943885,-0.39637332051943885,-0.39637332051943885,-0.39637332051943885,-0.39637332051943885
s0-eng,s2-eng,cosine,S,,-0.28536752449003344,-0.28536752449003344,-0.28536752449003344,-0.28536752449003344,-0.28536752449003344,-0.28536752449003344
s0-eng,sla-eng,cosine,S,,0.023557334061370498,0.023557334061370498,0.023557334061370498,0.023557334061370498,0.023557334061370498,0.023557334061370498
s0-eng,ine-eng,cosine,S,,0.7362994513563683,0.7362994513563683,0.7362994513563683,0.7362994513563683,0.7362994513563683,0.7362994513563683
s0-eng,mul-eng,cosine,S,,-0.481203537658325,-0.481203537658325,-0.481203537658325,-0.481203537658325,-0.481203537658325,-0.481203537658325
s1-eng,s2-eng,cosine,S,,1.8678003876568552,1.8678003876568552,1.8678003876568552,1.8678003876568552,1.8678003876568552,1.8678003876568552
s1-eng,sla-eng,cosine,S,,0.6265535826617252,0.6265535826617252,0.6265535826617252,0.6265535826617252,0.6265535826617252,0.6265535826617252
s1-eng,ine-eng,cosine,S,,-0.23338704745885716,-0.23338704745885716,-0.23338704745885716,-0.23338704745885716,-0.23338704745885716,-0.23338704745885716
s1-eng,mul-eng,cosine,S,,1.2956446974260831,1.2956446974260831,1.2956446974260831,1.2956446974260831,1.2956446974260831,1.2956446974260831
s2-eng,sla-eng,cosine,S,,0.4009352435113199,0.4009352435113199,0.4009352435113199,0.4009352435113199,0.4009352435113199,0.4009352435113199
s2-eng,ine-eng,cosine,S,,3.09545584926613,3.09545584926613,3.09545584926613,3.09545584926613,3.09545584926613,3.09545584926613
s2-eng,mul-eng,cosine,S,,-0.24755750696450346,-0.24755750696450346,-0.24755750696450346,-0.24755750696450346,-0.24755750696450346,-0.24755750696450346
sla-eng,ine-eng,cosine,S,,-0.18182502870247208,-0.18182502870247208,-0.18182502870247208,-0.18182502870247208,-0.18182502870247208,-0.18182502870247208
sla-eng,mul-eng,cosine,S,,-0.3891743232643657,-0.3891743232643657,-0.3891743232643657,-0.3891743232643657,-0.3891743232643657,-0.3891743232643657
ine-eng,mul-eng,cosine,S,,1.1178312045165966,1.1178312045165966,1.1178312045165966,1.1178312045165966,1.1178312045165966,1.1178312045165966
s0-eng,s1-eng,cosine,T,,-0.21696963279882261,-0.21696963279882261,-0.21696963279882261,-0.21696963279882261,-0.21696963279882261,-0.21696963279882261
s0-eng,s2-eng,cosine,T,,-0.18514584371006382,-0.18514584371006382,-0.18514584371006382,-0.18514584371006382,-0.18514584371006382,-0.18514584371006382
s0-eng,sla-eng,cosine,T,,0.2117938665204313,0.2117938665204313,0.2117938665204313,0.2117938665204313,0.2117938665204313,0.2117938665204313
s0-eng,ine-eng,cosine,T,,-0.00879141701531957,-0.00879141701531957,-0.00879141701531957,-0.00879141701531957,-0.00879141701531957,-0.00879141701531957
s0-eng,mul-eng,cosine,T,,0.47477694790269004,0.47477694790269004,0.47477694790269004,0.47477694790269004,0.47477694790269004,0.47477694790269004
s1-eng,s2-eng,cosine,T,,0.8380353552276831,0.8380353552276831,0.8380353552276831,0.8380353552276831,0.8380353552276831,0.8380353552276831
s1-eng,sla-eng,cosine,T,,1.561531236539623,1.561531236539623,1.561531236539623,1.561531236539623,1.561531236539623,1.561531236539623
s1-eng,ine-eng,cosine,T,,1.0556064017742448,1.0556064017742448,1.0556064017742448,1.0556064017742448,1.0556064017742448,1.0556064017742448
s1-eng,mul-eng,cosine,T,,0.5496314025446057,0.5496314025446057,0.5496314025446057,0.5496314025446057,0.5496314025446057,0.5496314025446057
s2-eng,sla-eng,cosine,T,,-0.4089583350632389,-0.4089583350632389,-0.4089583350632389,-0.4089583350632389,-0.4089583350632389,-0.4089583350632389
s2-eng,ine-eng,cosine,T,,-0.9083833775120336,-0.9083833775120336,-0.9083833775120336,-0.9083833775120336,-0.9083833775120336,-0.9083833775120336
s2-eng,mul-eng,cosine,T,,-0.8750368136193449,-0.8750368136193449,-0.8750368136193449,-0.8750368136193449,-0.8750368136193449,-0.8750368136193449
sla-eng,ine-eng,cosine,T,,-0.8949333851563542,-0.8949333851563542,-0.8949333851563542,-0.8949333851563542,-0.8949333851563542,-0.8949333851563542
sla-eng,mul-eng,cosine,T,,-0.853361647461132,-0.853361647461132,-0.853361647461132,-0.853361647461132,-0.853361647461132,-0.853361647461132
ine-eng,mul-eng,cosine,T,,-1.8573411806564855,-1.8573411806564855,-1.8573411806564855,-1.8573411806564855,-1.8573411806564855,-1.8573411806564855
s0-eng,s1-eng,cosine,C,,-1.254973516710992,-1.254973516710992,-1.254973516710992,-1.254973516710992,-1.254973516710992,-1.254973516710992
s0-eng,s2-eng,cosine,C,,0.5821029660161825,0.5821029660161825,0.5821029660161825,0.5821029660161825,0.5821029660161825,0.5821029660161825
s0-eng,sla-eng,cosine,C,,-1.6051065568471767,-1.6051065568471767,-1.6051065568471767,-1.6051065568471767,-1.6051065568471767,-1.6051065568471767
s0-eng,ine-eng,cosine,C,,1.8524879852380096,1.8524879852380096,1.8524879852380096,1.8524879852380096,1.8524879852380096,1.8524879852380096
s0-eng,mul-eng,cosine,C,,-0.5082855147795236,-0.5082855147795236,-0.5082855147795236,-0.5082855147795236,-0.5082855147795236,-0.5082855147795236
s1-eng,s2-eng,cosine,C,,-0.0403369659271432,-0.0403369659271432,-0.0403369659271432,-0.0403369659271432,-0.0403369659271432,-0.0403369659271432
s1-eng,sla-eng,cosine,C,,-0.743380450602303,-0.743380450602303,-0.743380450602303,-0.743380450602303,-0.743380450602303,-0.743380450602303
s1-eng,ine-eng,cosine,C,,0.4148756403322008,0.4148756403322008,0.4148756403322008,0.4148756403322008,0.4148756403322008,0.4148756403322008
s1-eng,mul-eng,cosine,C,,-0.4776184653344405,-0.4776184653344405,-0.4776184653344405,-0.4776184653344405,-0.4776184653344405,-0.4776184653344405
s2-eng,sla-eng,cosine,C,,0.4612699749899622,0.4612699749899622,0.4612699749899622,0.4612699749899622,0.4612699749899622,0.4612699749899622
s2-eng,ine-eng,cosine,C,,-1.5241168098070916,-1.5241168098070916,-1.5241168098070916,-1.5241168098070916,-1.5241168098070916,-1.5241168098070916
s2-eng,mul-eng,cosine,C,,-0.7706928661206632,-0.7706928661206632,-0.7706928661206632,-0.7706928661206632,-0.7706928661206632,-0.7706928661206632
sla-eng,ine-eng,cosine,C,,0.2592045223625056,0.2592045223625056,0.2592045223625056,0.2592045223625056,0.2592045223625056,0.2592045223625056
sla-eng,mul-eng,cosine,C,,-1.0531681395181869,-1.0531681395181869,-1.0531681395181869,-1.0531681395181869,-1.0531681395181869,-1.0531681395181869
ine-eng,mul-eng,cosine,C,,-1.0239048422062587,-1.0239048422062587,-1.0239048422062587,-1.0239048422062587,-1.0239048422062587,-1.0239048422062587
s0-eng,s1-eng,l2,S,347.77877244001473,-0.9542809981576058,-0.9542809981576058,-0.9542809981576058,-0.9542809981576058,-0.9542809981576058,-0.9542809981576058
s0-eng,s2-eng,l2,S,348.907493589712,0.23855948389322196,0.23855948389322196,0.23855948389322196,0.23855948389322196,0.23855948389322196,0.23855948389322196
s0-eng,sla-eng,l2,S,352.1297741972463,-0.10820700021484812,-0.10820700021484812,-0.10820700021484812,-0.10820700021484812,-0.10820700021484812,-0.10820700021484812
s0-eng,ine-eng,l2,S,341.043220274891,-0.626688407003486,-0.626688407003486,-0.626688407003486,-0.626688407003486,-0.626688407003486,-0.626688407003486
s0-eng,mul-eng,l2,S,344.60958083671875,0.6052995559196714,0.6052995559196714,0.6052995559196714,0.6052995559196714,0.6052995559196714,0.6052995559196714
s1-eng,s2-eng,l2,S,352.55043467796725,0.9040783091406339,0.9040783091406339,0.9040783091406339,0.9040783091406339,0.9040783091406339,0.9040783091406339
s1-eng,sla-eng,l2,S,356.4474849812903,0.11826352716958252,0.11826352716958252,0.11826352716958252,0.11826352716958252,0.11826352716958252,0.11826352716958252
s1-eng,ine-eng,l2,S,345.39774985776177,-1.3608964824333043,-1.3608964824333043,-1.3608964824333043,-1.3608964824333043,-1.3608964824333043,-1.3608964824333043
