model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
rus-eng s1,rus-eng s2,cosine,I,,146.51478776301855,134.56952646040148,62.13660835817774,85.51773073429538,89.82135393074522,124.3567094431242
rus-eng s2,rus-eng s3,cosine,I,,83.57353143981257,68.37675279128331,102.9833863944685,106.20631130027195,206.94536283512747,115.43271833127558
rus-eng s3,rus-eng s1,cosine,I,,168.77901602493804,130.87734501268463,124.19153024231636,144.76467812438798,355.59108887960446,85.33297198707945
ine-eng,rus-eng s1,cosine,I,,87.61544261351841,107.72648255395633,176.04925060276864,97.25688060502434,88.0983166834839,211.53048930737833
ine-eng,rus-eng s2,cosine,I,,181.00612699903542,140.1449137332067,119.86498987138391,174.51798796700288,34.251057415601984,209.30686617713343
ine-eng,rus-eng s3,cosine,I,,152.81692886923437,100.97337569972358,205.474502779063,285.08786911735746,280.03579224755015,260.9665963520156
sla-eng,rus-eng s1,cosine,I,,84.20122282822801,125.86524551831654,169.0331164758661,91.06322612922959,206.54056280167256,315.1854275223354
sla-eng,rus-eng s2,cosine,I,,149.83135893770415,176.98173702927798,138.4648839094506,93.68180454479393,205.6678443276017,270.50138526061255
sla-eng,rus-eng s3,cosine,I,,154.17635103151997,117.23231669982209,165.83309711202702,178.2010368013568,159.78415558035368,385.307740890829
mul-eng,rus-eng s1,cosine,I,,119.04221073858952,128.1342095223576,196.37274787226988,68.5741642752693,132.88205449969655,270.6787815113171
mul-eng,rus-eng s2,cosine,I,0.10279301488468207,99.14601880486946,171.6944113922467,150.92336049490575,106.48061806320892,79.51302144181429,265.62908992359667
mul-eng,rus-eng s3,cosine,I,,83.28229095469091,101.08318107715061,156.13477369196568,183.51791273789817,188.729263411606,277.58454642354997
ine-eng,sla-eng,cosine,I,,48.78470109702643,49.34076396175651,159.1909617379281,109.61269187920978,258.10422857977727,173.5732665232443
ine-eng,mul-eng,cosine,I,,99.83045517299713,38.99131864007334,105.78620978211377,94.24888615649309,120.47285387236818,177.530154823147
sla-eng,mul-eng,cosine,I,,101.14597519295428,42.040556418872754,149.17174041857444,64.41468193406592,213.36059484498992,235.26533411656416
rus-eng s1,rus-eng s2,cosine,S,,48.319142990675594,27.458143704372052,36.42687855072172,10.663196865040815,16.402697969657016,64.64417153051897
rus-eng s2,rus-eng s3,cosine,S,,79.86659935528259,31.439795484820547,32.475576506759886,9.250410851041684,16.881886052457407,138.52183429670643
rus-eng s3,rus-eng s1,cosine,S,,47.97958373212207,26.824374874552714,10.664059372563994,18.34147432422292,13.870382276206005,186.02441821922315
ine-eng,rus-eng s1,cosine,S,,105.21617961747671,78.69258913918827,24.685520693808556,21.24847805591453,21.70313855933673,118.41919507574728
