layer_idx,func,mean I,mean S,mean T,mean F,mean C,std I,std S,std T,std F,std C,checkpoint
0,cosine,1.0,0.0,0.0,0.0,0.0,1.4108921349890923e-16,0.0,0.0,0.0,0.0,1000
0,l2,0.0,27.91807885118471,27.91807885118471,27.91807885118471,27.91807885118471,0.0,0.7946488132581154,0.7946488132581154,0.7946488132581154,0.7946488132581154,1000
0,norm_ratio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,spim,1.0,0.0,0.0,0.0,0.0,1.4108921349890923e-16,0.0,0.0,0.0,0.0,1000
1,cosine,0.5691825327634745,0.43768801969068727,0.3753412344368089,0.3432868989597116,-0.002022621054526346,0.0526982547425484,0.03164574258330112,0.07115719117827318,0.052214386913719,0.0006598480104285292,1000
1,l2,18.848946726688087,20.626036656461913,21.070664545834155,21.340453238852927,23.10585571825802,0.9081256771560436,0.451968381942754,0.7559065277009354,0.5357585614420567,0.1906699091848451,1000
1,norm_ratio,0.7124149877282797,0.5881965104695667,0.4869327033796941,0.4354847636421823,0.2009918075258551,0.04432687000323354,0.021915983353239316,0.05323503978495805,0.025632935548416832,0.04145815386522967,1000
1,spim,0.4069584238623963,0.2575312463860368,0.18580753498278682,0.15009183285122948,-0.0003890380824494171,0.056121068046842686,0.0215795489032712,0.05371489019204197,0.029169635344797527,9.179700298602252e-05,1000
2,cosine,0.3508676498406198,0.48559536286969573,0.44515710126551206,0.4854622073604273,-0.009845398458580217,0.05769507139986201,0.052898971627964905,0.057066023908298825,0.0666870802433867,0.019062877000995394,1000
2,l2,21.32160737525881,20.191173456711198,20.354519542734526,19.774444757079603,22.668370157043416,0.5661328067668384,0.7377279974084907,0.7286092157605076,0.9892753048850157,0.04255121603387459,1000
2,norm_ratio,0.46234904426934753,0.6698609263469838,0.5396901507385303,0.5464499328342822,0.04498702402239099,0.05387424941620205,0.037730931007655615,0.05186712107034397,0.04425859726553872,0.031206140202438,1000
2,spim,0.1641727912263485,0.3265085255462977,0.24196137028080508,0.26755005715742686,-0.00019274421087825345,0.04166723536598428,0.0455649952034844,0.050421655889909794,0.05898087709579188,0.00012748027502616142,1000
3,cosine,0.20713005157903386,0.4531491382505408,0.5497643203716166,0.6057260278536283,-0.016127821483339876,0.05535655727845414,0.042017347472309986,0.03356455970852414,0.06167698799178113,0.019017338649752108,1000
3,l2,22.173728600898443,20.49074515430068,18.919129795027406,17.94509091927901,22.64523623726792,0.3277808541297171,0.5330876142927052,0.4885334749300667,1.0644313795902416,0.014010354046468802,1000
3,norm_ratio,0.2645992574337006,0.6144090096381495,0.5467464097026277,0.5978045258082572,0.023933778179177276,0.043779460246941404,0.0409263192700736,0.048786050891334705,0.038026803758502294,0.017712344920833675,1000
3,spim,0.05586284811711451,0.27941092562222863,0.30099052832795564,0.3639201314303214,-0.00018443349762032745,0.02147507105499878,0.037769095549602234,0.036857293416388874,0.057823146948026365,7.113601499176886e-05,1000
4,cosine,0.16195644900740327,0.4370545622479518,0.5872411831296006,0.6897752386973213,0.003606819191181054,0.06121016489741701,0.03433434642448679,0.030431782667153004,0.049227505250687094,0.005765135384092877,1000
4,l2,22.349987373582394,20.515734489018318,18.356541703826878,16.476899773666094,22.691407399715175,0.19747988328082364,0.4059577383419924,0.4655037392666336,0.9625129470409747,0.034733395731471176,1000
4,norm_ratio,0.13620274857641199,0.552638345501492,0.5492483429978676,0.5967868157353197,0.06960932108278474,0.02750636520141062,0.03591328807736578,0.03661178562475216,0.03372890322775844,0.02236256668590995,1000
4,spim,0.022132504027316917,0.24243819717934806,0.322454714773654,0.4127937253493952,0.00018085867028567055,0.010221145487303282,0.03228645140289653,0.025981593018819946,0.048791476871459176,0.00010088202491911765,1000
